Time[s], CS, SO_SIO1, WP_SIO2, SO_SO00, SCLK, RESET_SI03
0.007200730, 0, 0, 1, 0, 0, 0
0.007200818, 0, 0, 1, 0, 1, 0
0.007200906, 0, 1, 1, 0, 1, 0
0.007200908, 0, 1, 1, 0, 0, 0
0.007200996, 0, 1, 1, 0, 1, 0
0.007201086, 0, 1, 1, 0, 0, 0
0.007201174, 0, 1, 1, 0, 1, 0
0.007201264, 0, 1, 1, 0, 0, 0
0.007201352, 0, 1, 1, 0, 1, 0
0.007201442, 0, 1, 1, 0, 0, 0
0.007201444, 0, 0, 1, 0, 0, 0
0.007202796, 0, 0, 1, 0, 1, 0
0.007202888, 0, 0, 1, 0, 0, 0
0.007202974, 0, 0, 1, 0, 1, 0
0.007203064, 0, 0, 1, 0, 0, 0
0.007203152, 0, 0, 1, 0, 1, 0
0.007203242, 0, 0, 1, 0, 0, 0
0.007203330, 0, 0, 1, 0, 1, 0
0.007203422, 0, 0, 1, 0, 0, 0
0.007203508, 0, 0, 1, 0, 1, 0
0.007203598, 0, 0, 1, 0, 0, 0
0.007203686, 0, 0, 1, 0, 1, 0
0.007203776, 0, 1, 1, 0, 0, 0
0.007203864, 0, 1, 1, 0, 1, 0
0.007203954, 0, 1, 1, 0, 0, 0
0.007203956, 0, 0, 1, 0, 0, 0
0.007204042, 0, 0, 1, 0, 1, 0
0.007204132, 0, 0, 1, 0, 0, 0
0.007205552, 0, 0, 1, 0, 1, 0
0.007205642, 0, 0, 1, 0, 0, 0
0.007205730, 0, 0, 1, 0, 1, 0
0.007205820, 0, 0, 1, 0, 0, 0
0.007205906, 0, 0, 1, 0, 1, 0
0.007205996, 0, 1, 1, 0, 1, 0
0.007205998, 0, 1, 1, 0, 0, 0
0.007206084, 0, 1, 1, 0, 1, 0
0.007206176, 0, 1, 1, 0, 0, 0
0.007206262, 0, 1, 1, 0, 1, 0
0.007206354, 0, 0, 1, 0, 0, 0
0.007206440, 0, 0, 1, 0, 1, 0
0.007206530, 0, 0, 1, 0, 0, 0
0.007206618, 0, 0, 1, 0, 1, 0
0.007206708, 0, 1, 1, 0, 0, 0
0.007206796, 0, 1, 1, 0, 1, 0
0.007206888, 0, 1, 1, 0, 0, 0
0.007208286, 0, 1, 1, 0, 1, 0
0.007208376, 0, 1, 1, 0, 0, 0
0.007208464, 0, 1, 1, 0, 1, 0
0.007208554, 0, 1, 1, 0, 0, 0
0.007208642, 0, 1, 1, 0, 1, 0
0.007208732, 0, 1, 1, 0, 0, 0
0.007208818, 0, 1, 1, 0, 1, 0
0.007208910, 0, 1, 1, 0, 0, 0
0.007208996, 0, 1, 1, 0, 1, 0
0.007209086, 0, 1, 1, 0, 0, 0
0.007209174, 0, 1, 1, 0, 1, 0
0.007209264, 0, 1, 1, 0, 0, 0
0.007209266, 0, 0, 1, 0, 0, 0
0.007209352, 0, 0, 1, 0, 1, 0
0.007209440, 0, 1, 1, 0, 1, 0
0.007209442, 0, 1, 1, 0, 0, 0
0.007209530, 0, 1, 1, 0, 1, 0
0.007209620, 0, 1, 1, 0, 0, 0
0.007209622, 0, 0, 1, 0, 0, 0
0.007210974, 0, 0, 1, 0, 1, 0
0.007211064, 0, 0, 1, 0, 0, 0
0.007211152, 0, 0, 1, 0, 1, 0
0.007211242, 0, 0, 1, 0, 0, 0
0.007211330, 0, 0, 1, 0, 1, 0
0.007211420, 0, 0, 1, 0, 0, 0
0.007211508, 0, 0, 1, 0, 1, 0
0.007211598, 0, 0, 1, 0, 0, 0
0.007211686, 0, 0, 1, 0, 1, 0
0.007211776, 0, 0, 1, 0, 0, 0
0.007211864, 0, 0, 1, 0, 1, 0
0.007211954, 0, 1, 1, 0, 0, 0
0.007212042, 0, 1, 1, 0, 1, 0
0.007212134, 0, 1, 1, 0, 0, 0
0.007212220, 0, 1, 1, 0, 1, 0
0.007212310, 0, 1, 1, 0, 0, 0
0.007212312, 0, 0, 1, 0, 0, 0
0.007213708, 0, 0, 1, 0, 1, 0
0.007213798, 0, 0, 1, 0, 0, 0
0.007213886, 0, 0, 1, 0, 1, 0
0.007213976, 0, 0, 1, 0, 0, 0
0.007214062, 0, 0, 1, 0, 1, 0
0.007214154, 0, 0, 1, 0, 0, 0
0.007214240, 0, 0, 1, 0, 1, 0
0.007214330, 0, 0, 1, 0, 0, 0
0.007214418, 0, 0, 1, 0, 1, 0
0.007214508, 0, 0, 1, 0, 0, 0
0.007214596, 0, 0, 1, 0, 1, 0
